2020-03-23 18:24:44, MainThread  , WARNI,  * Debugger is active!
2020-03-23 18:24:44, MainThread  , INFO ,  * Debugger PIN: 127-929-316
2020-03-23 18:25:03, Thread-2    , INFO , 127.0.0.1 - - [23/Mar/2020 18:25:03] "[37mGET / HTTP/1.1[0m" 200 -
2020-03-23 18:25:09, Thread-3    , INFO , 127.0.0.1 - - [23/Mar/2020 18:25:09] "[37mGET / HTTP/1.1[0m" 200 -
2020-03-23 18:25:14, Thread-4    , INFO , 127.0.0.1 - - [23/Mar/2020 18:25:14] "[37mGET /errors HTTP/1.1[0m" 200 -
2020-03-23 18:26:56, MainThread  , INFO ,  * Detected change in '/Users/buitrab/Desktop/python-api-2/api.py', reloading
2020-03-23 18:27:22, Thread-2    , INFO , 127.0.0.1 - - [23/Mar/2020 18:27:22] "[37mGET /errors HTTP/1.1[0m" 200 -
2020-03-23 18:28:05, MainThread  , INFO ,  * Detected change in '/Users/buitrab/Desktop/python-api-2/api.py', reloading
2020-03-23 18:29:33, Thread-2    , INFO , 127.0.0.1 - - [23/Mar/2020 18:29:33] "[37mGET /errors HTTP/1.1[0m" 200 -
2020-03-23 18:29:54, MainThread  , INFO ,  * Detected change in '/Users/buitrab/Desktop/python-api-2/api.py', reloading
2020-03-23 18:31:44, Thread-2    , INFO , 127.0.0.1 - - [23/Mar/2020 18:31:44] "[37mGET /errors HTTP/1.1[0m" 200 -
2020-03-23 18:39:04, MainThread  , INFO ,  * Detected change in '/Users/buitrab/Desktop/python-api-2/api.py', reloading
